author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,price,district,street,house_number,underground,residential_complex
ID 12952860,unknown,https://www.cian.ru/sale/flat/300986703/,Москва,sale,flat,10,12,2,48.0,-1,0,15690000.0,Люблино,Краснодарская ,60,Люблино,
А101,developer,https://www.cian.ru/sale/flat/299392672/,Москва,sale,flat,5,16,2,49.3,-1,0,15823624.0,,,к22.1,Коммунарка,Скандинавия ЖК
Трансстройинвест,developer,https://www.cian.ru/sale/flat/299504773/,Москва,sale,flat,2,32,2,49.8,-1,0,15868073.0,Рязанский,Рязанский проспект,вл39,Стахановская,Проспект 39
ОГРК,real_estate_agent,https://www.cian.ru/sale/flat/296383351/,Москва,sale,flat,9,11,2,64.0,-1,0,16000000.0,,бульвар Андрея Тарковского,7,Рассказовка,Рассказово
Основа,developer,https://www.cian.ru/sale/flat/289975765/,Москва,sale,flat,5,20,2,61.87,-1,0,16005769.0,Северный,Новодачная ,67/68,Новодачная,ФизтехСити
Римарком Владис,real_estate_agent,https://www.cian.ru/sale/flat/295336936/,Москва,sale,flat,6,13,2,48.4,-1,0,16000000.0,, Фитаревская,6,Коммунарка,Аквилон PARK
Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/301508882/,Москва,sale,flat,38,52,2,53.5,-1,0,15900000.0,Москворечье-Сабурово,,1,Москворечье,Вэйв ЖК
Макспол Парк Культуры,real_estate_agent,https://www.cian.ru/sale/flat/301314745/,Москва,sale,flat,12,17,2,53.2,-1,0,16000000.0,Тропарево-Никулино,Никулинская ,15К1,Озёрная,
На Петровке Продажа-Аренда,real_estate_agent,https://www.cian.ru/sale/flat/299464659/,Москва,sale,flat,21,25,2,55.5,-1,0,16000000.0,Выхино-Жулебино,Рязанский проспект,97к2,Выхино,
Анна Озерецковская,realtor,https://www.cian.ru/sale/flat/301682576/,Москва,sale,flat,6,9,2,37.5,-1,0,15990000.0,Черемушки,Нахимовский проспект,37К2,Профсоюзная,
Концерн Русич,developer,https://www.cian.ru/sale/flat/296414083/,Москва,sale,flat,3,17,2,55.0,-1,0,16046112.0,Царицыно,Севанская ,62С2,Каширская,РУСИЧ-Кантемировский
3SGroup,developer,https://www.cian.ru/sale/flat/298055188/,Москва,sale,flat,6,29,2,35.3,-1,0,15961450.0,Богородское,Открытое шоссе,14Д,Бульвар Рокоссовского,Талисман на Рокоссовского
ЛСР,developer,https://www.cian.ru/sale/flat/301334172/,Москва,sale,flat,11,24,2,53.2,-1,0,16019477.0,Солнцево,Производственная ,17АС4,Солнцево,Лучи
Акрополь,real_estate_agent,https://www.cian.ru/sale/flat/294664898/,Москва,sale,flat,23,25,2,54.0,-1,0,16000000.0,Люблино,Люблинская ,74к3,Перерва,Люблинский парк
